method,params,n_queries,recall@k,DAF,success_%,avg_search_ms,avg_post_ms,avg_scanned
l2ivf_cartesian,nlist=0_nprobe=1_over=100,200,0.7149999999999995,1.0114703864073993,100.0,9.686943292617798,25.05820393562317,514.64
l2ivf_cartesian,nlist=0_nprobe=4_over=100,200,0.9780000000000001,1.000421291673231,100.0,8.164370059967041,24.150463342666626,1120.4
l2ivf_cartesian,nlist=0_nprobe=8_over=100,200,0.9990000000000001,1.0,100.0,8.424575328826904,20.00065326690674,1122.13
