method,params,n_queries,recall@k,success_%,avg_search_ms,avg_post_ms,avg_scanned
l2lsh_cartesian,c=2.0_r=596.545_w=800.0_ell=16_mu=2_delta=0.1,50,,100.0,124064.55908298492,33.85666847229004,4080.76
l2lsh_cartesian,c=2.0_r=596.545_w=800.0_ell=32_mu=2_delta=0.1,50,,100.0,250205.04642486572,30.96470355987549,8138.36
l2lsh_cartesian,c=2.0_r=596.545_w=800.0_ell=4_mu=2_delta=0.1,50,,100.0,35521.29666805267,32.99305438995361,1037.56
l2lsh_cartesian,c=2.0_r=596.545_w=800.0_ell=64_mu=2_delta=0.1,50,,100.0,546158.8232326508,32.04170227050781,16253.56
l2lsh_cartesian,c=2.0_r=596.545_w=800.0_ell=8_mu=2_delta=0.1,50,,100.0,64456.6206407547,28.73264789581299,2051.96
