method,params,n_queries,recall@k,DAF,success_%,avg_search_ms,avg_post_ms,avg_scanned
l2ivf_cartesian,nlist=0_nprobe=1_over=100,200,0.8009999999999999,1.0156330576566717,98.5,134.2902684211731,22.584424018859863,2166.525
l2ivf_cartesian,nlist=0_nprobe=4_over=100,200,0.9570000000000002,1.0021730903377526,98.5,139.40760254859924,21.68958306312561,3643.75
l2ivf_cartesian,nlist=0_nprobe=8_over=100,200,0.982,1.001117496423925,98.5,141.11496806144714,21.164543628692627,3651.22
