method,params,n_queries,recall@k,success_%,avg_search_ms,avg_post_ms,avg_scanned
l2lsh_cartesian,c=2.0_r=11.475_w=4.0_ell=16_mu=2_delta=0.1,200,0.0,87.0,7015.537547106719,26.11768305601187,2399.829145728643
l2lsh_cartesian,c=2.0_r=11.475_w=4.0_ell=32_mu=2_delta=0.1,200,0.0,97.5,12512.430472589618,26.975230355957645,6727.814070351758
